word,translation,toeic_target,sentence,trans_s
merit,n. ????????  ,??, I'm tired of being passed over for promotions. I'm going to move to a company that values merit over seniority.,?????????????????????????????
devote,v. ??  ,??," In his new position, most of his time will be devoted to client relations.",????????????????????
lead,v. ??  ,??," I'm surprised that he was promoted, because I don't think he leads his work group very well.",#??!
lifetime,n. ??  ,??," She rose from cashier to chief financial officer over her lifetime, which is a very impressive achievement.",?????????????????????????????????
adjustment,n. ??  ,??," With the cost of living rising so quickly, I believe we deserve a salary adjustment.",?????????????????????????
flexible,adj. ????  ,??," My hours in the office are flexible, but I have to be on call from 9 a.m. to 5 p.m.",#??!
limit,n. ?????  ,??,They're talking about creating a salary cap and setting separate limits for each level in the hierarchy.,?????????????????????????????
pension,n. ???????  ,??, I'm very glad the company will start matching our pension contributions next year.,??????????????????????
raise,n. ??  ,??," If I don't get a raise soon, I'm going to look for another job.",#??!
rise,v. ?????  ,??," If the cost of living continues to rise, the company is going to have to increase people's salaries.",?????????????????????????
salary,n. ??  ,??," The salary in my new position is terrible, but the work is so interesting that I don't mind.",????????????????????????
tenure,n. (????)????  ,??," Once he's gotten tenure in the position, his salary won't change.",#??!
value,n. ??  ,??, I don't think my salary reflects the value I bring to the company.,?????????????????????
wage,n. ??  ,??, I work such long hours that I'm glad I get an hourly wage rather than a set salary.,?????????????????????????
introduce,v. ??  ,??, The principal function of orientation is to introduce the company's culture and its methods of operation.,#??!
regulation,n. ????????  ,??, Rules concerning the regulation of intellectual property rights will be introduced during orientation.,?????????????????????
set up,v. ?????  ,??, Mr. Rasheed has agreed to set up the audio system for this month's seminar.,Rasheed ??????????????????
take part in,v. ??  ,??," Unlike last year, new programmers have to take part in the first stage of orientation  this year.",#??!
required,adj. ???????  ,??," The required training excursion will focus on leadership, which the president feels is lacking in many managers.",?????????????????????????????????
train,v. ?????  ,??, We need to find someone who can train the staff to use the new office software.,?????????????????????
annual,adj. ?????????  ,??, The annual training course is held every August.,#??!
bring together,v. ?????  ,??, We hope to bring together the most motivated and competitive employees.,?????????????????????
build up,v. ??  ,??, The purpose of this excursion is to build up a sense of teamwork.,?????????????????
guide,v. ??  ,??, Five former participants will guide trainees through the course.,#??!
instructor,n. ??????  ,??," She said she did not want to be an instructor, even though she will plan training course.",????????????????????
mentor,n. ???????  ,??," Each group of trainees will be assigned a mentor, who will assist them during the hands-on portion.",???????????????????????
session,n. (??????)?????  ,??," Each session will run for two hours, followed by a 20-minute break.",#??!
site,n. ??  ,??, The site for this year's training seminar will be in Frankfurt.,??????????????????
entertainment,n. ??  ,??, Karaoke has become a popular form of entertainment at birthday parties.,??OK?????????????????
invite,v. ??  ,??," Be sure to invite all the managers, even ones from other department.",#??!
present,n. ??  ,??," While bringing a present is not required, it is highly recommended.",????????????????
welcome,v. ??  ,??, I would like to welcome you all to Kathy and Steve's first baby shower.,????????Kathy?Steve?????????
congratulate,v. ??  ,??, Let me be the first to congratulate you on your upcoming wedding and to wish you the very best.,#??!
farewell,adj. ???  ,??, Is Mrs. Kerry retiring before or after her farewell party?,??????????????????????
party,n. ????????  ,??, Do you think it would be better to held Mr. Smith's farewell party at a restaurant or a bar?,????????????????????????????
theme,n. ?????  ,??, Has anyone decided if the party's theme will be a cruise voyage or an Italian getaway.,#??!
attribute,v. ???  ,??, She attributes her successes to the support of her coworkers and staff.,???????????????????
awards ceremony,n. ????  ,??, The president will present the achievement awards during the awards ceremony following dinner.,???????????????????
banquet,n. ???????  ,??, The organizers have arranged for the banquet to be held in the hotel's conference room.,#??!
celebrate,v. ??  ,??," Once the president has finished her speech, we will celebrate the entrance of new employees into the company.",???????????????????????
commemorate,v. ?????  ,??, This event will commemorate our organization's 20th year of operation.,????????????20???
activity,n. ??  ,??, Which activities did you have in mind for this year's Christmas party.,#??!
ancient,adj. ???  ,??, Giving children gifts of money at Chinese New Year is an ancient tradition in China.,?????????????????
atmosphere,n. ??  ,??," Keeping the time limit to three hours will help us maintain a festive atmosphere; more than that, and peaple will tired.",???????????????????;???????Peaple ???????
costume,n. ?????  ,??, We would like to remind employees that the wearing of costumes will not be permitted this Halloween.,#??!
gather,v. ??  ,??, Employees should gather for New Year's party by 7p.m.,??????7???????????
observe,v. ??(???)??????  ,??," This year, we will be observing both the Western and Chinese New years.",???????????????????
anniversary,n. ????  ,??," Johnson's 25th wedding anniversary is this Friday, so let's have a small party for him at the office.",#??!
admire,v. ????????  ,??, I think I speak for everyone here when I say how much I have admired your professionalism over the years.,?????????????????????????????
expect,v. ??  ,??," When planning for retirement, it is important to expect medical costs to increse.",??????????????????????
retire,v. ??  ,??, I can't believe Mrs. Yamada will be able to retire at 55.,#??!
apprentice,n. ??????  ,??, My machanic is looking for an apprentice.,???????????
assistant,n. ?????  ,??, I can't keep up with this paperwork. I need an assistant.,???????????????????
associate,n. ??????  ,??," This is George, my business associate.",#??!
in charge of,??  ,??, She is in charge of North American sales.,????????
beneath,prep. ?...??  ,??, There are at least 10 people beneath her in the department.,????????????
executive,adj. ??????????  ,??, This is her first time in an executive position.,#??!
fluctuation,n. ?????  ,??, The constant fluctuations in personal mean I never know who my real boss is.,????????????????????????
level,n. ?????  ,??," I thought my work was good, but his performance is really on another level.",????????????????????????
personnel,n. (??)?????  ,??," If they don't hire some new people, they're going to face a serious personnel crisis.",#??!
select,v. ??  ,??, I'm hoping to be selected as the new team leader.,????????????
supervisor,n. ??  ,??, I really need my supervisor to clarify what she want me to do.,????????????????????
understaffed,adj. ?????  ,??, We're so understaffed; I've ended up working until 10 p.m. every night this week.,#??!
respectful,adj. ????  ,??, He has to learn to be more respectful of his superiors if he want to get ahead.,??????????????????
spare,adj. ???  ,??," It is just a small business corporation, so it may not have spare workforce for this projects.",????????????????????????????????
resign,v. ??  ,??, I dont want to resign until I've found a new position.,#??!
assignment,n. ?????  ,??, Have you finished the assignment yet?,????????
busy,adj. ???  ,??," She asked me to pick up her shift on Saturday, but I'm just too busy.",???????????????????
shift,n. ??  ,??," I've got early shifts all week, so I can't stay up late.",#??!
collaborate,v. ??  ,??, Ther've decided that they want sales and marketing to collaborate on the new plan.,??????????????????????
department,n. ?????  ,??," We used to have lunch together, but now that she's moved to another department, I hardly to see her anymore.",????????????????????????????????
integral,adj. ?????  ,??, He's an integral part of the design team. I don't know what I'd do without him.,#??!
buyout,n. ???(??)????  ,??, The company promises thst nothing will change for enployees after the buyout.,?????????????????????
control,v. ??  ,??, I control the acquisition process at the company.,????????????
takeover,n. ?????  ,??, There will definitely be layoffs after the takeover.,#??!
transition,n. ?????  ,??, They've sent a team of human resources specialists to help make sure the transition is smooth.,???????????????????????????
acquisition,n. ??  ,??, They get rid of their competition through acquisitions.,??????????????
corporate,adj. ???????  ,??," In my opinion, only a corporate lawyer can answer those questions.",#??!
institute,n. (????)????????????  ,??, The merging of these two well-known institutes has shocked the academic circles.,??????????????????
merger,n. (????)??  ,??, What will the company's name be after the merger?,?????????????
transfer,v. ??  ,??, We're going to transfer all our design work to them as part of the merger.,#??!
appoint,v. ???????  ,??, I can't believe the CEO appointed his daughter as chair of the research committee!,??????????????????????
be accounted for,?????  ,??," All the board members are accounted for, so I think we're ready to get started on the vote.",?????????????????????????
board,n. ????(??????)????  ,??," I think it's a great idea, but the board is so conservative that they might not approve it.",#??!
boardroom,n. ??????  ,??, All the executives are gathered in the boardroom right now. I wonder what's going on.,?????????????????????????????
direct,v. ????????  ,??, Who's going to direct the research team.,?????????
reliable,adj. ???  ,??, He's so reliable; he's never missed a deadline.,#??!
title,n. ??  ,??, The promotion is really just a change of title. Idon't have any new responsibilities.,??????????????????????
brick,n. ?  ,??," The interior is wood paneling, but exterior is red brick.",????????????????
carpet,n. ??  ,??,  Putting down carpet would help reduce the noise levels.,#??!
closet,n. ??  ,??," Seeing as there are no closets, storage space will be a problem.",?????????????????
compartment,n. ?????  ,??," Each room is divided into three compartments, each of which is large enough to accommodate three cubicles.",????????????????????????
entrance,n. ??  ,??, The south entrance needs a new passkey machine installed.,#??!
furnished,adj. ?????  ,??," A temporary solution would be to rent a furnished office, but it will be expensive.",??????????????????????????
garage,n. ??  ,??, The garage has space for thirty cars and two trucks.,???????????????
lobby,n. ?????  ,??," Given the large windows, the lobby should be right enough to make vistors feel comfortable.",#??!
shelf,n. (????)??  ,??, We will need to install shelves in each cubicle so that workers have some place to display personal items.,?????????????????????????????
staff lounge,n. ?????  ,??, Employees have asked for a refrigerator to be installed in the staff lounge.,???????????????
wing,n. ?????  ,??, The north wing will house the IT department and all it servers.,#??!
workplace,n. ????  ,??, Will we be able to maintain safety in a workplace this narrow? There's limited space between the walls and the robots.,??????????????????????????????????
adjacent,adj. ???  ,??, The adjacent building blocks most of the afternoon sunlight.,??????????????????
broad,adj. ??  ,??, The service road is broad enough so that our trucks will have no problem driving down it.,#??!
construction,n. ???  ,??," There are no large constructions nearby, so we anticipate no difficulties receiving satellite signals.",???????????????????????????
district,n. ??  ,??," Our new office is in a residential district, so it is expected there will be a lot of houses and schools there.",?????????????????????????
indoor,adj. ???  ,??," It's too dark, there's not enough indoor lighting in the warehouse.",#??!
location,n. ?????????  ,??, Rail and highway access is a key consideration when selecting a location for our new factory.,??????????????????????????
neighborhood,n. ????  ,??," The surrounging neighborhood is mostly apartments and convenience stores, with a couple of small parks.",???????????????????????
on-site,adj. ???????  ,??," Dangerous materials cannot be stored in on-site containers. Instead, they must be transported to a remote location.",#??!
patio,n. ?????  ,??, The patio is wide enough for three sets of tables and chairs.,??????????
railing,n. ???????????  ,??," To comply with safety regulations, every second-floor landing must have a railing.",?????????????????????
statue,n. ??  ,??, The mayor's office is considering putting up a statue of the town's founder at corner.,#??!
suburb,n. ??  ,??," Most surburbs have a large amount of residential housing, some small buisnesses catering to resident, and little to no industry.",???????????????????????????????
surround,v. ??  ,??, The city has ruled that all factories must be surrounded by a green zone not less than 10 meters wide.,?????????????????10???????
work on,??  ,??, Our recent environmental impact evaluation makes it clear we must work on reducing our emissions.,#??!
amenities,n. ????  ,??," These company dormitories have all the standard amenities of a mid-priced hotel, including Wi-Fi and cable TV.",??????????????????????Wi-Fi??????
basic,adj. ???????  ,??," The basic utilities, water and electricity, are included in the rental fee.",???????????????????
convenient,adj. ???  ,??, The location is convenient for anyone needing easy access to downtown.,#??!
electricity,n. ??  ,??, The power company has a buy-back scheme for local households with solar power systems generating excess electricity.,???????????????????????????????
energy,n. ??  ,??, The president is considering installing a geothermal energy system to heat the building.,?????????????????????
reduce,v. ?????  ,??, Is there any way to reduce our gas bill? It has gone beyond our budget for the third month in a row now.,#??!
stationery,n. ??  ,??," Given how much paper our office uses, we need to find a cheap stationeny supplier immediately.",?????????????????????????????????
utilities,n. ????(??????????)  ,??," Among the utilities we will need to hook up first, electricity and gas are the highest priority.",????????????????????????????
monitor,n. ???  ,??, The building has monitors for both the front and rear entrances.,#??!
lease,n. ????? v. ??  ,??, The cost of the lease is too high; it would've been cheaper if we had bought a space for long-term use.,??????;?????????????????????
mortgage,n. ????  ,??,"Before we consider taking out a mortgage, let's look into renting an office space.",???????????????????
stationary,adj. ???????  ,??," Actually, the interior walls are not stationary; they can be removed to create a large space.",#??!
tenant,n. ?????????  ,??," The previous tenants falied to do necessary maintenance, so the property needs a lots of cleaning and repairs.",?????????????????????????
trustee,n. ???  ,??," Since the original owner died, the property has been managed by a trustee.",??????????????????
borrow,v. ??  ,??, Can I borrow the book when you're finished.,#??!
extension,n. ???????  ,??, We haven't finished using the conference room--can we have an extension until 3p.m.?,?????????——???????????
rent,v. ?????  ,??," I'm looking for an apartment to rent, but I hope to buy a house soon.",?????????????????????
reserve,v. ?????  ,??, I'm going to reserve a van to take us to the company picnic.,#??!
belong,v. ??  ,??, Who does this tablet belong to?,????????
demolish,v. ?????  ,??, It can't be fixed. there is no other way but to demolish it.,???????????????????
dispose,v. ??  ,??, Where should I dispose of dead batteries?,#??!
renovate,v. ??  ,??," The apartment is shabby now, but imagine how it could be if we renovate it!",???????????????????????????
repair,v. ??  ,??, Do you know of a shop that repairs watches.,???????????????
occupy,v. ??  ,??, I'm afraid we're going to occupy the only meeting room all day.,#??!
share,v. ??,??,I share an office with Tom Smith.,????·???????????
as needed,phr. ?????,??,"We don't restock our stationery according to any schedule, just as needed.",????????????????????????
alternative,n. ???????,??,What you're suggesting isn't possible. Can you give me an alternative.,#??!
detailed,adj. ???,??,"I've never done this before, so please be as detailed as possible in your instruction.",?????????????????????
insufficient,adj. ????????,??,"I thought I'd be able to assemble this by my self, but the manual is completely insufficient.",????????????????????
once,adv. ?????,??,"Once you're fitted the bolt, slowly turn the gear.",#??!
periodically,adv. ????,??,Shake the can periodically so the paint doesn't settle.,??????????????
procedure,n. ????????,??,"It's such a simple procedure, I don't think I need to read the directions.",?????????????????????
secure,v. ?......??,??,"Secure the handle, then turn on the machine.",#??!
appliance,n. ????????,??,Our office appliances are so out-of-date.,??????????????
container,n. ??,??,Where's the container for paper clips.,??????????
contractor,n. ??????,??,No one here knows how to do a repair that complex. We'll have to hire a contractor.,#??!
device,n. ????????,??,"In an office with no pencils, a pencil sharpener is a useless device.",??????????????????????
directory,n. ???????,??,Could you check the personnel directory and find out how to contact each team member.,???????????????????????
equipment,n. ????????,??,I hope they're going to order some new printing equipment.,#??!
facility,n. (????????????????)?????,??,"If we want to produce things on such a huge scale, we're going to need a much bigger facility.",?????????????????????????
maintenance,n. ?????,??,We need a maintenance crew to come take a look at this leak in the kitchen.,????????????????
property,n. ??????,??,"We're not allow to take company property home, not even pens.",#??!
resource,n. ??,??,"You can't move the scanner into your office, it's a shared resource!",????????????????????
software,n. ????,??,We need to update our accounting software.,???????????
acquaint,v. ???????,??,You really should acquaint yourself with the machine before you need to use it urgently.,#??!
at all time,phr. ????,??,Please use caution at all time when operating the espresso machine.,??????????????
carefully,adv. ???,??,You have to add the cartridge very carefully or it'll jam.,???????????????????
follow,v. ?????,??,"If you don't follow the instructions, you might break something.",#??!
helpful,adj. ????,??,"If you don't bother to read the manual, you'll find it's very helpful.",??????????????????????
manual,n. ?????,??,Didn't the box contain a user's manual?,????????????
method,n. ??,??,"The manual say ""break down the machine"" but doesn't give us any method for doing that!",#??!
structure,n. ?????????,??,There's an office shelving structure in the instructions diagram that I can't identify.,?????????????????????
complete,v. ??,??,"Several employees have complained that evem though they completed the customer's data entry, they system didn't save it.",?????????????????????????????????
fill,v. ?????,??,The clients filled the remaining space with their e-mail addresses.,#??!
item,n. ??,??,Data entry forms should not have more than 10 items.,????????????10??
signature,n. ??,??,Every form must have space for three signatures.,???????????????
template,n. ??,??,Be sure to use the approved template whenever creating new expense reports.,#??!
approve,v. ????????,??,"Before your loan application can be approved, you need to provide proof of your assets.",???????????????????
deadline,n. ????,??,"The deadline is January 20, so make sure you finish the report no later than the 19th.",?????1?20????????19????????
reject,v. ?????,??,The most common reason for rejecting an application is completing the paperwork incorrectly.,?????????????????
rush,v. ???????,??,There is no way to rush the process without sacrificing quality.,?????????????????
submit,v. ?????,??,Fifteen candidates submitted applications for the assistant manager position.,?????????????????
appendix,n. ??,??,A user's manual without an appendix is not user-friendly.,??????????????
compile,v. ????????(???),??,Please compile a list of inactive customers with their home addresses and phone numbers.,???????????????????????????
divide,v. ????,??,Divide the page into three columns to make it easier to read.,???????????????
abnormal,adj. ???,??,The doctor found an abnormal result in the blood test.,?????????????
abort,v. ??,??,The pilot decided to abort the flight because of bad weather.,??????????????
acid,n. ?,??,Lemon juice contains a natural acid.,????????????
active,adj. ???????,??,She is very active in school activities.,????????????
add,v. ?????,??,Please add some sugar to the coffee.,?????????
adjust,v. ??,??,Please adjust the chair to a comfortable height.,?????????????
air shower,n. ????,??,Workers must pass through the air shower before entering the clean room.,????????????????????
alarm,n. ??,??,The fire alarm suddenly went off during the meeting.,??????????
alert,n. ??,??,The weather service issued a flood alert this morning.,#??!
align,v. ??,??,Please align the boxes neatly on the shelf.,??????????????
annually,adv. ???,??,The company holds a meeting annually.,#??!
area,n. ??,??,This area is reserved for employees only.,#??!
attach,v. ??,??,Please attach the file to your email.,??????????????
audit,v. ?????,??,The company will conduct an internal audit next month.,??????????????
automatic,adj. ???,??,The doors open automatically when someone approaches.,????????????
automotive,adj. ???,??,He works in the automotive industry.,?????????
available,adj. ?????????????,??,1. Is this meeting room available this afternoon? 2. These products are available online. 3. The manager is not available right now.,1. ?????????????2. ??????????3. ?????????
average,n. ??,??,The average score of the class was 85.,????????85??
backup,n. ?????,??,Always keep a backup of important files.,??????????
bank,n. ?? v. ??,??,1. I went to the bank to deposit some money. 2. She banks her salary every month.,#??!
basic,adj. ???,??,This is a basic English grammar rule.,??????????????
beam,n. ??,??,A beam of light came through the window.,???????????
benchmark,n. ?????,??,This product sets a new benchmark in the industry.,?????????????
bottle,n. ??,??,Please drink a bottle of water every day.,????????
bottom,n. ??,??,The keys are at the bottom of the bag.,????????
broken,adj. ???????,??,"My phone is broken, so I can’t use it.",?????????????
cancel,v. ??,??,The meeting was canceled due to heavy rain.,????????
card,n. ??,??,I used my credit card to pay for the meal.,??????????
cassette,n. ?????,??,The wafer are stored in a wafer cassette to avoid contamination.,?????????????????
center,n. ??,??,The meeting was held in the city center.,?????????
certify,v. ?????,??,The engineer certified that the machine was safe to use.,?????????????
change,v. ??,??,I want to change my job next year.,????????
chart,n. ??,??,The sales chart shows a steady increase.,?????????????
